insurance,保険,,ja-JP,ja-JP
isolation,孤立,,ja-JP,ja-JP
shortage,不足,,ja-JP,ja-JP
ambitious,野心のある,,ja-JP,ja-JP
significant,意義深い　重要な,,ja-JP,ja-JP
splendid,素晴らしい　輝かしい,,ja-JP,ja-JP
vivid,鮮明な,,ja-JP,ja-JP
vital,不可欠な,,ja-JP,ja-JP
ancestor,祖先,,ja-JP,ja-JP
heritage,遺産,,ja-JP,ja-JP
poverty,貧困,,ja-JP,ja-JP
abuse,虐待,,ja-JP,ja-JP
improve,向上させる,,ja-JP,ja-JP
circumstance,状況,,ja-JP,ja-JP
funeral,葬式,,ja-JP,ja-JP
grave,墓　由々しい,,ja-JP,ja-JP
cancer,がん,,ja-JP,ja-JP
suicide,自殺,,ja-JP,ja-JP
rumor,噂,,ja-JP,ja-JP
reputation,評判,,ja-JP,ja-JP
fame,名声,,ja-JP,ja-JP
emargency,緊急時,,ja-JP,ja-JP
relief,安堵,,ja-JP,ja-JP
formal,正式な,,ja-JP,ja-JP
be invote in…,巻き込む,,ja-JP,ja-JP
endangered,絶滅危惧,,ja-JP,ja-JP
extinction,絶滅危惧,,ja-JP,ja-JP
discrimination,差別,,ja-JP,ja-JP
disorder,障害,,ja-JP,ja-JP
virus,ウイルス,,ja-JP,ja-JP
ban,禁止する,,ja-JP,ja-JP
restrict,規制している,,ja-JP,ja-JP
envious,羨んでいる　嫉妬深い,,ja-JP,ja-JP
scorn,軽蔑,,ja-JP,ja-JP
remote,人里離れた,,ja-JP,ja-JP
apart,（距離的に）離れている　（時間的に）〜違いで,,ja-JP,ja-JP
aside,わきへ,,ja-JP,ja-JP
forth,外へ　前後に,,ja-JP,ja-JP
divorce,離婚,,ja-JP,ja-JP
chief,最も重要な,,ja-JP,ja-JP
fair,適正な,,ja-JP,ja-JP
reriable,信頼できる,,ja-JP,ja-JP
secure,安定した　確実にする,,ja-JP,ja-JP
consistent,首尾一貫した,,ja-JP,ja-JP
sophisticated,精密な,,ja-JP,ja-JP
willing,する気がある,,ja-JP,ja-JP
attain,到達した,,ja-JP,ja-JP
historic,歴史上重要な,,ja-JP,ja-JP
historical,歴史上の,,ja-JP,ja-JP
historian,歴史家,,ja-JP,ja-JP
anthropologist,人類学者,,ja-JP,ja-JP